cnpj,empresa,setor,cidade,regiao,capital_social,investimento_inicial,anos_atividade,data_abertura,lat,lon
16.595.950/0001-54,Empresa 1508 LTDA,Tecnologia,Parauapebas,Sudeste,315754.11,197776.38,9,2017-04-06,-0.06254260827017966,-55.862556141545916
53.754.497/0001-74,Empresa 7516 LTDA,Vestuário,Marabá,Sudeste,68554.86,39849.16,4,2022-04-06,-4.722713984902785,-51.554626988045634
88.784.498/0001-87,Empresa 9971 LTDA,Alimentação,Breves,Marajó,39929.22,32681.46,2,2024-04-06,-3.0720287756741733,-46.778466280709374
66.563.153/0001-80,Empresa 2176 LTDA,Vestuário,Abaetetuba,Nordeste,130929.3,50914.74,15,2011-04-06,-5.853059849280145,-46.4739475146745
71.182.433/0001-12,Empresa 7347 LTDA,Alimentação,Belém,Metropolitana,105138.5,40515.35,14,2012-04-06,-1.468146647243618,-48.41845883317127
17.290.348/0001-94,Empresa 1756 LTDA,Vestuário,Soure,Marajó,59226.47,24399.25,11,2015-04-06,-8.937866335980404,-50.54165074671165
93.253.981/0001-17,Empresa 3355 LTDA,Serviços (MEI),Barcarena,Nordeste,7293.19,1535.83,19,2007-04-06,-6.651538129635732,-52.95256661950958
98.351.269/0001-41,Empresa 8376 LTDA,Logística,Benevides,Metropolitana,4690032.91,1749454.33,10,2016-04-06,-1.383577921898441,-48.36712858851266
49.772.443/0001-13,Empresa 4063 LTDA,Tecnologia,Santarém,Oeste,183403.35,112825.07,8,2018-04-06,-4.04285436413551,-48.99167283797863
55.971.346/0001-60,Empresa 4475 LTDA,Serviços (MEI),Salvaterra,Marajó,21156.86,15533.26,2,2024-04-06,-1.568162214186616,-48.69458373878234
20.247.133/0001-65,Empresa 7618 LTDA,Logística,Breves,Marajó,4485659.06,1762664.82,11,2015-04-06,-8.202171048068882,-53.53054461174119
54.956.762/0001-44,Empresa 4831 LTDA,Tecnologia,Soure,Marajó,910418.11,410304.81,9,2017-04-06,-2.172441740507164,-46.92189493085989
72.237.811/0001-69,Empresa 1711 LTDA,Vestuário,Benevides,Metropolitana,87936.57,25088.44,14,2012-04-06,-1.4981719512283898,-48.375408069080834
82.712.384/0001-38,Empresa 9500 LTDA,Vestuário,Belém,Metropolitana,60049.99,38614.44,10,2016-04-06,-1.4570782390349604,-48.43109423140818
77.198.950/0001-39,Empresa 6421 LTDA,Tecnologia,Ananindeua,Metropolitana,1251267.86,343623.48,15,2011-04-06,-1.3629781328931878,-48.39967483260847
31.417.596/0001-43,Empresa 7257 LTDA,Tecnologia,Marituba,Metropolitana,598905.58,354503.86,4,2022-04-06,-1.4482293447018353,-48.50859569894248
35.722.542/0001-83,Empresa 8954 LTDA,Alimentação,Redenção,Sudeste,10529.2,6799.94,6,2020-04-06,-0.3407009494675677,-54.024378840153524
86.327.858/0001-58,Empresa 2717 LTDA,Serviços (MEI),Soure,Marajó,8412.13,7573.09,1,2025-04-06,-1.3671673471816437,-54.567596704114386
28.682.924/0001-83,Empresa 1070 LTDA,Logística,Castanhal,Nordeste,1079510.25,520384.67,6,2020-04-06,-4.57562217400733,-48.8559471242895
18.326.494/0001-58,Empresa 9207 LTDA,Logística,Itaituba,Oeste,4733552.42,1222255.44,18,2008-04-06,-7.732891856762448,-49.943076495014964
44.240.734/0001-67,Empresa 1502 LTDA,Serviços (MEI),Salvaterra,Marajó,20925.66,19831.48,1,2025-04-06,-8.518132279420886,-51.38343180812666
94.527.801/0001-39,Empresa 1444 LTDA,Vestuário,Breves,Marajó,34256.59,18649.53,6,2020-04-06,-1.5103299992835097,-47.24450008818664
47.994.857/0001-79,Empresa 8258 LTDA,Vestuário,Itaituba,Oeste,90001.91,48849.55,8,2018-04-06,-5.080911566179639,-51.55950740568455
47.328.814/0001-93,Empresa 3222 LTDA,Logística,Capanema,Nordeste,1649886.45,515954.02,12,2014-04-06,-8.700611757568069,-51.94514607299892
80.843.359/0001-55,Empresa 9749 LTDA,Tecnologia,Soure,Marajó,883896.3,271200.22,15,2011-04-06,-8.351023805816853,-51.73007909787811
92.554.619/0001-82,Empresa 8717 LTDA,Serviços (MEI),Capanema,Nordeste,27026.67,7271.69,16,2010-04-06,-4.285842253573971,-55.07221092726222
54.679.386/0001-94,Empresa 4255 LTDA,Serviços (MEI),Canaã dos Carajás,Sudeste,62202.13,17772.73,16,2010-04-06,-8.782591119609242,-50.62915428115326
58.604.178/0001-59,Empresa 7200 LTDA,Alimentação,Soure,Marajó,43121.07,20591.03,18,2008-04-06,-7.232605925175934,-54.79178569095507
50.207.914/0001-45,Empresa 3875 LTDA,Tecnologia,Parauapebas,Sudeste,309198.47,186705.04,7,2019-04-06,-4.306442688185125,-47.72232768431675
18.434.877/0001-54,Empresa 5546 LTDA,Alimentação,Castanhal,Nordeste,30105.01,20638.87,3,2023-04-06,-0.14739555727028275,-54.13674308095998
20.124.899/0001-83,Empresa 5428 LTDA,Vestuário,Marabá,Sudeste,147749.01,57648.58,12,2014-04-06,-7.1036730599971305,-55.14177982541853
68.364.705/0001-84,Empresa 7344 LTDA,Alimentação,Marabá,Sudeste,49055.26,22699.76,7,2019-04-06,-5.502899629826702,-51.315341775355435
54.976.831/0001-39,Empresa 5095 LTDA,Logística,Soure,Marajó,2080294.65,1494443.08,2,2024-04-06,-6.078416274603994,-48.80838875128758
61.270.514/0001-76,Empresa 4347 LTDA,Alimentação,Itaituba,Oeste,19110.75,5746.89,17,2009-04-06,-8.921082993843283,-48.464041802096006
76.373.693/0001-36,Empresa 1406 LTDA,Vestuário,Abaetetuba,Nordeste,169134.62,55665.9,14,2012-04-06,-2.97790251886798,-46.13402928789767
39.559.835/0001-32,Empresa 4984 LTDA,Vestuário,Barcarena,Nordeste,114114.35,59378.15,17,2009-04-06,-0.8986068501619968,-53.021362785302486
81.597.186/0001-71,Empresa 9388 LTDA,Vestuário,Castanhal,Nordeste,13775.11,7670.96,6,2020-04-06,-6.903015639281797,-47.40524252905342
22.769.374/0001-57,Empresa 6923 LTDA,Logística,Breves,Marajó,1694722.75,1424300.42,1,2025-04-06,-2.1491427018347684,-52.67520148026664
97.281.662/0001-91,Empresa 8734 LTDA,Logística,Itaituba,Oeste,2164584.89,1741622.28,2,2024-04-06,-1.439520897545501,-49.44568653595481
49.434.166/0001-22,Empresa 7423 LTDA,Tecnologia,Breves,Marajó,293670.04,87504.9,16,2010-04-06,-0.7877762655949248,-50.43358252617181
93.796.604/0001-79,Empresa 4636 LTDA,Vestuário,Soure,Marajó,109626.35,23405.66,19,2007-04-06,-7.9316396939083695,-53.06979684859131
79.476.468/0001-36,Empresa 6757 LTDA,Tecnologia,Marabá,Sudeste,547206.64,401449.64,3,2023-04-06,-8.453058423375028,-51.179855334714915
49.832.390/0001-55,Empresa 8032 LTDA,Vestuário,Abaetetuba,Nordeste,76600.29,28293.61,17,2009-04-06,-2.1781982161595925,-53.07523119252329
93.281.136/0001-36,Empresa 7408 LTDA,Tecnologia,Benevides,Metropolitana,213303.78,86178.76,18,2008-04-06,-1.3361327245590746,-48.44543490973825
93.193.876/0001-13,Empresa 2537 LTDA,Serviços (MEI),Santarém,Oeste,22238.32,18246.22,4,2022-04-06,-4.683298430611629,-48.75744808087438
27.405.377/0001-36,Empresa 8465 LTDA,Alimentação,Parauapebas,Sudeste,15464.55,14277.38,1,2025-04-06,-4.501034353959326,-53.59802640891535
61.212.429/0001-59,Empresa 3238 LTDA,Vestuário,Barcarena,Nordeste,163267.73,70819.68,19,2007-04-06,-8.499387812367363,-53.88139454269779
86.978.463/0001-84,Empresa 8575 LTDA,Serviços (MEI),Castanhal,Nordeste,13487.93,4985.22,11,2015-04-06,-3.189313978311329,-51.42530375612603
11.930.957/0001-55,Empresa 8782 LTDA,Serviços (MEI),Breves,Marajó,26965.52,13815.5,19,2007-04-06,-5.144892102218796,-47.32874506657886
41.864.902/0001-54,Empresa 2620 LTDA,Tecnologia,Soure,Marajó,769128.6,300263.51,8,2018-04-06,-4.9549567738569475,-48.62481068424083
82.727.860/0001-51,Empresa 5029 LTDA,Tecnologia,Barcarena,Nordeste,510350.68,462402.55,2,2024-04-06,-7.652617323657514,-47.050206054035385
40.452.699/0001-15,Empresa 5522 LTDA,Serviços (MEI),Salvaterra,Marajó,38139.22,16868.97,19,2007-04-06,-3.1722248204500705,-47.130445376756875
24.270.247/0001-92,Empresa 8062 LTDA,Alimentação,Santarém,Oeste,101268.16,44028.09,9,2017-04-06,-5.752352561495576,-47.78186242141177
81.857.656/0001-57,Empresa 1011 LTDA,Serviços (MEI),Ananindeua,Metropolitana,52491.07,15222.14,17,2009-04-06,-1.3873089595723422,-48.36823825674951
96.183.394/0001-63,Empresa 3198 LTDA,Serviços (MEI),Itaituba,Oeste,36487.36,14309.27,11,2015-04-06,-4.87371188533574,-50.06893867737998
45.995.278/0001-24,Empresa 6420 LTDA,Tecnologia,Santarém,Oeste,541435.49,350290.68,3,2023-04-06,-3.9699518793030144,-54.34153971778548
90.735.112/0001-76,Empresa 3183 LTDA,Alimentação,Capanema,Nordeste,108619.54,48851.28,17,2009-04-06,-7.020245313253275,-47.22345229549134
64.232.511/0001-72,Empresa 7131 LTDA,Logística,Benevides,Metropolitana,3506747.18,1561473.11,8,2018-04-06,-1.4485515028113456,-48.512827650827866
46.291.757/0001-13,Empresa 3009 LTDA,Alimentação,Itaituba,Oeste,59700.07,32656.64,8,2018-04-06,-1.7791189005071448,-55.07217536398696
86.344.311/0001-63,Empresa 7291 LTDA,Logística,Salvaterra,Marajó,1600481.31,1162879.83,7,2019-04-06,-1.8870474122396388,-49.91626099815011
24.379.309/0001-38,Empresa 6906 LTDA,Alimentação,Abaetetuba,Nordeste,19344.72,7137.87,14,2012-04-06,-2.526324066722607,-50.90925081863049
89.707.515/0001-42,Empresa 8855 LTDA,Logística,Altamira,Oeste,826247.9,487491.97,6,2020-04-06,-1.339510973908487,-49.9819429782941
58.614.620/0001-70,Empresa 6558 LTDA,Logística,Capanema,Nordeste,3530676.73,1687089.09,17,2009-04-06,-8.625140308511345,-48.842234041909975
93.448.320/0001-54,Empresa 9970 LTDA,Tecnologia,Barcarena,Nordeste,415230.09,178649.27,10,2016-04-06,-7.298955726468664,-50.29305319571587
65.348.682/0001-69,Empresa 6050 LTDA,Alimentação,Soure,Marajó,128028.88,37887.87,13,2013-04-06,-2.3704855296294802,-49.602505843939795
10.958.128/0001-76,Empresa 9029 LTDA,Serviços (MEI),Soure,Marajó,40087.53,15974.42,11,2015-04-06,-1.2582060573795033,-53.969244002853785
87.521.367/0001-81,Empresa 5700 LTDA,Serviços (MEI),Redenção,Sudeste,34657.48,10251.25,13,2013-04-06,-8.156806138092644,-47.191870180890916
87.432.353/0001-84,Empresa 2642 LTDA,Logística,Soure,Marajó,3984652.67,1563757.8,8,2018-04-06,-6.2587893090783195,-51.98724341929463
77.298.283/0001-52,Empresa 9190 LTDA,Tecnologia,Abaetetuba,Nordeste,663657.6,329808.53,12,2014-04-06,-2.3165473330393436,-48.30973599174114
77.320.110/0001-67,Empresa 3701 LTDA,Alimentação,Salvaterra,Marajó,99068.79,31021.54,12,2014-04-06,-6.974234695194347,-55.55411184653667
68.969.678/0001-18,Empresa 1500 LTDA,Logística,Salvaterra,Marajó,4378259.82,1434064.02,18,2008-04-06,-7.298641324386914,-46.83446088014919
26.532.681/0001-11,Empresa 4067 LTDA,Serviços (MEI),Salvaterra,Marajó,24311.1,14249.71,5,2021-04-06,-6.081589986523623,-52.15268605294555
68.291.149/0001-29,Empresa 7642 LTDA,Tecnologia,Parauapebas,Sudeste,389460.16,298058.07,4,2022-04-06,-8.1893779024915,-47.61903168589428
24.269.756/0001-22,Empresa 3759 LTDA,Alimentação,Altamira,Oeste,65948.07,20596.28,14,2012-04-06,-5.810050468479104,-46.167310913779104
49.193.204/0001-70,Empresa 8946 LTDA,Serviços (MEI),Santarém,Oeste,75947.03,19412.61,18,2008-04-06,-7.2223947040567635,-55.39109732206726
45.707.438/0001-96,Empresa 2884 LTDA,Logística,Marituba,Metropolitana,3999077.82,1068022.11,17,2009-04-06,-1.4196471434630966,-48.39027402111389
40.937.769/0001-73,Empresa 5948 LTDA,Alimentação,Breves,Marajó,29600.92,10963.36,9,2017-04-06,-4.240757777262217,-46.08023532390616
50.321.548/0001-48,Empresa 3315 LTDA,Serviços (MEI),Canaã dos Carajás,Sudeste,24001.83,15983.95,8,2018-04-06,-0.3218006614083553,-46.31950059789565
19.623.481/0001-37,Empresa 6688 LTDA,Alimentação,Redenção,Sudeste,74669.28,44337.64,12,2014-04-06,-6.488426469543035,-47.59022481910277
36.542.741/0001-39,Empresa 3019 LTDA,Serviços (MEI),Altamira,Oeste,32047.63,15964.17,6,2020-04-06,-8.814754398712283,-51.59141914913894
45.877.675/0001-36,Empresa 9128 LTDA,Alimentação,Santa Izabel do Pará,Metropolitana,90371.27,37532.45,16,2010-04-06,-1.4096881318984809,-48.44777083219451
77.382.996/0001-27,Empresa 5604 LTDA,Alimentação,Belém,Metropolitana,72451.05,28763.35,8,2018-04-06,-1.4948815112280465,-48.4536833607881
25.304.267/0001-58,Empresa 8373 LTDA,Vestuário,Soure,Marajó,146122.42,76151.3,15,2011-04-06,-3.316236069001647,-53.1490483709226
16.411.115/0001-80,Empresa 9186 LTDA,Logística,Soure,Marajó,3449285.5,1188500.3,12,2014-04-06,-1.8382110875152193,-51.05999304143909
60.610.880/0001-82,Empresa 1840 LTDA,Tecnologia,Capanema,Nordeste,1376043.49,422463.24,13,2013-04-06,-3.4704369537167388,-51.288665098139894
61.162.730/0001-67,Empresa 8661 LTDA,Alimentação,Altamira,Oeste,40861.34,19986.66,16,2010-04-06,-4.0643355456022885,-53.75484822917948
27.547.526/0001-83,Empresa 4826 LTDA,Tecnologia,Marituba,Metropolitana,246853.27,63630.56,16,2010-04-06,-1.4282232067996972,-48.51159482680339
11.697.762/0001-76,Empresa 1343 LTDA,Tecnologia,Santarém,Oeste,976770.24,294134.05,16,2010-04-06,-4.713770465491308,-46.00777185252498
98.995.735/0001-82,Empresa 6934 LTDA,Tecnologia,Castanhal,Nordeste,155905.82,99508.08,8,2018-04-06,-5.226444906416109,-47.25992364593674
26.461.766/0001-90,Empresa 4564 LTDA,Alimentação,Parauapebas,Sudeste,108696.82,34788.68,11,2015-04-06,-6.090708899119123,-48.37263166747527
32.570.791/0001-15,Empresa 3662 LTDA,Alimentação,Altamira,Oeste,25739.83,7084.71,15,2011-04-06,-2.733731036592653,-54.31484883143745
86.679.778/0001-50,Empresa 1853 LTDA,Alimentação,Santa Izabel do Pará,Metropolitana,35624.74,16484.61,10,2016-04-06,-1.361585983114054,-48.42013966570081
64.993.576/0001-14,Empresa 9456 LTDA,Tecnologia,Soure,Marajó,300516.72,215244.69,7,2019-04-06,-3.268433045767985,-50.22890572871837
15.892.709/0001-95,Empresa 1198 LTDA,Alimentação,Marituba,Metropolitana,80772.19,29761.25,19,2007-04-06,-1.4592622585444441,-48.49474420185977
87.288.232/0001-74,Empresa 9884 LTDA,Alimentação,Benevides,Metropolitana,36497.2,31550.07,1,2025-04-06,-1.363524648897817,-48.514359565193985
73.527.442/0001-55,Empresa 9539 LTDA,Serviços (MEI),Abaetetuba,Nordeste,21848.46,9226.77,15,2011-04-06,-1.4710482968457157,-46.823531016127774
51.580.305/0001-44,Empresa 9470 LTDA,Alimentação,Parauapebas,Sudeste,16294.88,14063.02,2,2024-04-06,-3.086501398128636,-46.241274264340774
75.258.870/0001-28,Empresa 4272 LTDA,Logística,Santarém,Oeste,194411.67,91013.32,12,2014-04-06,-1.7480364082610889,-46.462862817337786
96.623.505/0001-56,Empresa 8608 LTDA,Tecnologia,Itaituba,Oeste,1407684.18,369476.89,16,2010-04-06,-5.596480069687691,-49.13892997784144
46.792.654/0001-55,Empresa 2876 LTDA,Logística,Ananindeua,Metropolitana,688834.5,305965.17,17,2009-04-06,-1.4538208368911296,-48.509423134888756
85.305.377/0001-80,Empresa 2870 LTDA,Serviços (MEI),Belém,Metropolitana,26967.9,13420.39,6,2020-04-06,-1.3424856007400923,-48.48538615853352
96.665.489/0001-34,Empresa 8011 LTDA,Alimentação,Salvaterra,Marajó,91867.91,48058.09,12,2014-04-06,-8.15592178850265,-51.35203802975588
76.201.659/0001-91,Empresa 9190 LTDA,Tecnologia,Santa Izabel do Pará,Metropolitana,974246.46,314509.63,13,2013-04-06,-1.3328215789785272,-48.377742172207746
96.629.283/0001-93,Empresa 9696 LTDA,Tecnologia,Abaetetuba,Nordeste,450110.15,211771.71,12,2014-04-06,-5.605617335750478,-48.20262531048253
23.735.446/0001-91,Empresa 5568 LTDA,Vestuário,Santarém,Oeste,67895.7,16384.79,19,2007-04-06,-1.3456939844196851,-47.51803753337752
27.188.285/0001-72,Empresa 2359 LTDA,Serviços (MEI),Breves,Marajó,3938.55,3666.44,1,2025-04-06,-4.679283917449636,-53.70696382527747
66.980.402/0001-27,Empresa 8503 LTDA,Vestuário,Canaã dos Carajás,Sudeste,200689.37,56173.08,18,2008-04-06,-2.4054849075075175,-55.59083796537776
86.366.514/0001-40,Empresa 3576 LTDA,Vestuário,Benevides,Metropolitana,100387.05,77008.42,2,2024-04-06,-1.425219289289346,-48.45911449395535
46.902.473/0001-49,Empresa 4358 LTDA,Vestuário,Capanema,Nordeste,20632.32,13883.24,4,2022-04-06,-6.1052400353167755,-49.076040469829906
11.846.573/0001-92,Empresa 2461 LTDA,Logística,Capanema,Nordeste,340319.94,185246.56,13,2013-04-06,-2.180343326553696,-54.86692092354915
71.192.964/0001-77,Empresa 7207 LTDA,Serviços (MEI),Redenção,Sudeste,16572.51,5299.6,14,2012-04-06,-8.507661929710274,-50.50447463455497
47.877.131/0001-83,Empresa 6893 LTDA,Alimentação,Itaituba,Oeste,18700.09,6285.91,17,2009-04-06,-6.9714351392614065,-53.963697821045926
54.825.737/0001-24,Empresa 3932 LTDA,Vestuário,Benevides,Metropolitana,72326.68,21965.25,15,2011-04-06,-1.3729345950321745,-48.3507835531842
73.295.754/0001-40,Empresa 6329 LTDA,Alimentação,Breves,Marajó,20573.51,18267.49,2,2024-04-06,-2.6914170404275666,-51.82834585990768
95.715.435/0001-97,Empresa 1315 LTDA,Tecnologia,Soure,Marajó,2255150.49,480268.32,19,2007-04-06,-5.745363343816231,-50.05838467910827
83.309.427/0001-49,Empresa 6262 LTDA,Serviços (MEI),Abaetetuba,Nordeste,8347.57,7443.46,1,2025-04-06,-8.323497357808519,-51.52345790255222
23.895.617/0001-19,Empresa 1866 LTDA,Tecnologia,Itaituba,Oeste,274112.38,235159.2,3,2023-04-06,-7.281220056678851,-47.714912380360445
82.167.300/0001-22,Empresa 4068 LTDA,Tecnologia,Marabá,Sudeste,453776.11,186103.99,9,2017-04-06,-4.26407455643249,-49.39560167593236
23.355.637/0001-88,Empresa 8747 LTDA,Logística,Altamira,Oeste,6497704.4,1901031.03,19,2007-04-06,-4.104641479980616,-52.51123005418615
43.955.347/0001-59,Empresa 2980 LTDA,Vestuário,Belém,Metropolitana,304596.94,76418.49,18,2008-04-06,-1.3018100268285488,-48.430929178504535
73.560.209/0001-52,Empresa 4566 LTDA,Tecnologia,Breves,Marajó,66169.42,44999.33,5,2021-04-06,-4.426742382492524,-51.875964032945475
43.515.299/0001-89,Empresa 8935 LTDA,Alimentação,Redenção,Sudeste,138186.48,30906.67,19,2007-04-06,-3.9225124785983674,-53.965457392784955
91.870.640/0001-72,Empresa 9343 LTDA,Serviços (MEI),Marituba,Metropolitana,30729.68,16883.85,11,2015-04-06,-1.405210576967589,-48.43113001299256
29.628.966/0001-23,Empresa 7364 LTDA,Logística,Altamira,Oeste,1113596.69,928370.77,3,2023-04-06,-7.916971749767009,-51.2039250435989
55.978.770/0001-64,Empresa 4038 LTDA,Alimentação,Soure,Marajó,13077.36,7422.63,13,2013-04-06,-8.879356624405217,-50.767283531693025
36.837.455/0001-76,Empresa 1237 LTDA,Logística,Redenção,Sudeste,1360922.4,903787.15,7,2019-04-06,-3.8291245889434204,-53.52211693564793
90.595.157/0001-16,Empresa 2303 LTDA,Logística,Altamira,Oeste,1917877.55,1312326.34,4,2022-04-06,-3.9233152887077125,-49.49924124545528
55.376.501/0001-43,Empresa 4025 LTDA,Serviços (MEI),Itaituba,Oeste,8831.17,3371.29,12,2014-04-06,-7.281468934427114,-46.66066445413054
45.301.936/0001-72,Empresa 9515 LTDA,Alimentação,Santa Izabel do Pará,Metropolitana,63152.85,25711.42,8,2018-04-06,-1.3111541924473689,-48.47765241694432
98.751.865/0001-96,Empresa 5734 LTDA,Vestuário,Soure,Marajó,196320.57,67411.7,10,2016-04-06,-5.031909108902545,-55.98101219734638
78.863.338/0001-92,Empresa 4817 LTDA,Logística,Ananindeua,Metropolitana,750747.89,451041.32,7,2019-04-06,-1.3704088134948067,-48.36253934129909
60.622.390/0001-75,Empresa 9582 LTDA,Logística,Altamira,Oeste,1688882.87,1157590.41,4,2022-04-06,-0.5427354791437793,-54.727563268569526
67.806.127/0001-80,Empresa 1296 LTDA,Logística,Parauapebas,Sudeste,3894265.76,1666224.04,11,2015-04-06,-1.5665453754382286,-46.354852591937814
29.991.102/0001-31,Empresa 5753 LTDA,Logística,Breves,Marajó,841262.25,639301.9,3,2023-04-06,-6.211617802837424,-53.066322560544215
36.229.352/0001-47,Empresa 4554 LTDA,Logística,Breves,Marajó,722495.15,502653.15,6,2020-04-06,-4.4497707481488975,-46.80907026134933
92.903.409/0001-31,Empresa 1765 LTDA,Vestuário,Santarém,Oeste,61280.88,25738.94,19,2007-04-06,-4.311555665979153,-50.3376765373832
57.308.478/0001-86,Empresa 9713 LTDA,Tecnologia,Breves,Marajó,1240842.96,428440.71,10,2016-04-06,-4.874855145739373,-50.938124963585615
12.927.906/0001-36,Empresa 3692 LTDA,Vestuário,Redenção,Sudeste,106789.5,70426.55,7,2019-04-06,-5.8103153280342195,-48.12292667151489
63.338.276/0001-15,Empresa 1393 LTDA,Serviços (MEI),Parauapebas,Sudeste,19858.2,10209.58,13,2013-04-06,-1.6752131443347063,-49.36484999027682
79.652.898/0001-46,Empresa 6229 LTDA,Alimentação,Parauapebas,Sudeste,8286.86,6188.62,3,2023-04-06,-1.1801000511746977,-50.2231258288684
33.958.224/0001-10,Empresa 9057 LTDA,Logística,Altamira,Oeste,581405.36,508666.55,1,2025-04-06,-3.483835765583474,-54.09840989877656
36.729.917/0001-14,Empresa 4351 LTDA,Alimentação,Breves,Marajó,3968.41,1610.13,8,2018-04-06,-1.495500606082377,-53.13850281098364
50.304.884/0001-91,Empresa 8142 LTDA,Alimentação,Canaã dos Carajás,Sudeste,62253.8,38168.06,5,2021-04-06,-8.753582694440498,-46.93580412968866
46.805.123/0001-80,Empresa 2221 LTDA,Tecnologia,Belém,Metropolitana,890463.82,454264.24,5,2021-04-06,-1.482859025211312,-48.471356411633565
25.478.646/0001-13,Empresa 6064 LTDA,Vestuário,Abaetetuba,Nordeste,121716.39,66453.24,14,2012-04-06,-5.899013660386407,-55.91447197240811
83.715.921/0001-68,Empresa 9993 LTDA,Logística,Santarém,Oeste,2432057.74,1670554.81,7,2019-04-06,-8.595888120428247,-50.96973897319614
47.168.778/0001-58,Empresa 5356 LTDA,Vestuário,Breves,Marajó,138782.08,50735.49,13,2013-04-06,-1.6478227056518255,-51.362666437588146
35.544.719/0001-91,Empresa 5642 LTDA,Alimentação,Barcarena,Nordeste,47887.66,19818.49,14,2012-04-06,-6.954679159977451,-51.15069250171142
38.171.110/0001-37,Empresa 5277 LTDA,Logística,Breves,Marajó,822586.33,339063.77,11,2015-04-06,-0.60635266551947,-47.4022450432045
64.591.607/0001-60,Empresa 3949 LTDA,Alimentação,Marabá,Sudeste,38789.67,33902.39,2,2024-04-06,-8.073566762895197,-49.77068041554931
38.961.221/0001-26,Empresa 9056 LTDA,Vestuário,Canaã dos Carajás,Sudeste,62445.02,46551.21,3,2023-04-06,-1.8679121756841166,-49.68838962580129
93.448.199/0001-84,Empresa 7924 LTDA,Tecnologia,Marabá,Sudeste,103622.78,69510.41,3,2023-04-06,-1.397919382038923,-50.5281148036177
16.468.491/0001-75,Empresa 2307 LTDA,Vestuário,Itaituba,Oeste,4959.68,2373.36,18,2008-04-06,-5.758963395299764,-49.41476496372936
22.675.576/0001-30,Empresa 9492 LTDA,Alimentação,Salvaterra,Marajó,23056.05,5804.86,17,2009-04-06,-1.7491922406750504,-53.4042624034293
72.618.431/0001-93,Empresa 8116 LTDA,Vestuário,Abaetetuba,Nordeste,85231.71,18854.32,19,2007-04-06,-3.16526971445923,-49.411651786735426
17.371.754/0001-61,Empresa 4093 LTDA,Logística,Redenção,Sudeste,1423456.39,889761.08,8,2018-04-06,-2.8401972625271403,-54.42901635079683
66.468.461/0001-82,Empresa 6686 LTDA,Logística,Benevides,Metropolitana,250659.07,144820.67,11,2015-04-06,-1.4167825206274736,-48.484200878834734
41.199.243/0001-31,Empresa 5891 LTDA,Vestuário,Abaetetuba,Nordeste,57440.22,24484.43,14,2012-04-06,-7.583655844813221,-47.949792282398036
87.520.305/0001-67,Empresa 1636 LTDA,Logística,Breves,Marajó,1030928.19,575658.27,7,2019-04-06,-5.7837951765018785,-53.23145606312831
45.285.585/0001-47,Empresa 3557 LTDA,Vestuário,Santa Izabel do Pará,Metropolitana,115160.2,34181.34,13,2013-04-06,-1.4794416127712844,-48.54431626856732
58.237.983/0001-62,Empresa 7388 LTDA,Vestuário,Soure,Marajó,59308.31,38932.36,9,2017-04-06,-8.020907478198607,-51.07433305177092
62.669.297/0001-26,Empresa 3848 LTDA,Tecnologia,Parauapebas,Sudeste,924171.47,474346.41,11,2015-04-06,-2.3211507022729663,-47.48995319907624
60.835.190/0001-17,Empresa 9177 LTDA,Vestuário,Marabá,Sudeste,105600.31,41233.56,10,2016-04-06,-2.3375765294234796,-47.374965737135824
75.441.680/0001-68,Empresa 2217 LTDA,Tecnologia,Ananindeua,Metropolitana,525192.96,152306.56,13,2013-04-06,-1.4118281333923557,-48.44187843825561
65.867.544/0001-52,Empresa 4037 LTDA,Tecnologia,Capanema,Nordeste,699620.7,455305.75,7,2019-04-06,-1.7340382048076552,-52.99095208036766
27.505.702/0001-97,Empresa 2379 LTDA,Vestuário,Santarém,Oeste,93766.32,27025.23,13,2013-04-06,-5.309780250339744,-54.32801395461887
11.193.579/0001-23,Empresa 4668 LTDA,Alimentação,Redenção,Sudeste,95026.54,49060.51,10,2016-04-06,-4.465664057586131,-46.42762074665515
31.350.874/0001-57,Empresa 3528 LTDA,Logística,Barcarena,Nordeste,3057829.97,783196.39,17,2009-04-06,-6.269622458119898,-46.88307067789175
39.345.330/0001-39,Empresa 5312 LTDA,Alimentação,Santa Izabel do Pará,Metropolitana,36919.35,28237.24,5,2021-04-06,-1.333944083148391,-48.513485298911846
85.651.554/0001-25,Empresa 8082 LTDA,Vestuário,Ananindeua,Metropolitana,83251.74,35374.03,13,2013-04-06,-1.305287216322723,-48.509161120885395
64.307.739/0001-28,Empresa 3092 LTDA,Alimentação,Capanema,Nordeste,2342.37,1537.48,9,2017-04-06,-5.608040315365514,-50.30724543380589
88.196.144/0001-26,Empresa 6428 LTDA,Vestuário,Canaã dos Carajás,Sudeste,51044.29,15511.5,13,2013-04-06,-4.465941954597975,-52.98181753419182
14.602.337/0001-48,Empresa 9969 LTDA,Serviços (MEI),Altamira,Oeste,17588.99,8087.93,7,2019-04-06,-6.068755779078135,-48.77425332847806
69.723.909/0001-19,Empresa 9948 LTDA,Tecnologia,Canaã dos Carajás,Sudeste,240694.18,126781.09,12,2014-04-06,-3.791814039071787,-51.77908351133391
39.109.570/0001-80,Empresa 1817 LTDA,Tecnologia,Castanhal,Nordeste,892163.96,248022.15,16,2010-04-06,-8.083903429286613,-49.158437259551086
